,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
9183,Shaikh Hameed,4 ,1.25,"5,234 / sq ft",2388 ,Ready to move
9184,Shaikh Hameed,2 ,75,"6,250 / sq ft",1200 ,Ready to move
9185,yadamma nagar,6 ,3,"6,666 / sq ft",4500 ,Ready to move
9186,Mohammed Mujtaba,2 ,36,"3,333 / sq ft",1080 ,Ready to move
9187,Mallikarjun Goud,2 ,28,"2,456 / sq ft",1140 ,Under Construction
9188,Shaikh Hameed,3 ,1.09,"6,055 / sq ft",1800 ,Ready to move
9189,Moghal Constructions,3 ,1.28,"6,165 / sq ft",2076 ,Under Construction
9190,Shaikh Hameed,3 ,54,"3,763 / sq ft",1435 ,Ready to move
9191,Shaikh Hameed,3 ,3.5,"7,777 / sq ft",4500 ,Ready to move
9192,Shaikh Hameed,5 ,80,"2,666 / sq ft",3000 ,Ready to move
9193,Shaikh Hameed,2 ,66,"4,400 / sq ft",1500 ,Ready to move
9194,Shaikh Hameed,2 ,42,"3,360 / sq ft",1250 ,Ready to move
9195,Ayyappa Properties,4 ,95.79,"5,986 / sq ft",1600 ,Ready to move
9196,Ayyappa Properties,4 ,94,"5,875 / sq ft",1600 ,Ready to move
9197,Ayyappa Properties,2 ,65.9,"5,852 / sq ft",1126 ,Ready to move
9198,Shaikh Hameed,3 ,60,"3,750 / sq ft",1600 ,Ready to move
9199,Ayyappa Properties,4 ,99,"3,960 / sq ft",2500 ,Ready to move
9200,Hyderabad properties,3 ,1.7,"6,800 / sq ft",2500 ,Ready to move
9201,Hyderabad properties,3 ,1.1,"5,851 / sq ft",1880 ,Ready to move
9202,Hyderabad properties,3 ,1.05,"5,801 / sq ft",1810 ,Ready to move
9203,Hyderabad properties,2 ,60,"5,128 / sq ft",1170 ,Ready to move
9204,Hyderabad properties,3 ,1.1,"5,500 / sq ft",2000 ,Ready to move
9205,Hyderabad properties,3 ,85,"5,000 / sq ft",1700 ,Ready to move
9206,Hyderabad properties,3 ,65,"4,642 / sq ft",1400 ,Ready to move
9207,Hyderabad properties,2 ,55,"4,910 / sq ft",1120 ,Ready to move
9208,Hyderabad properties,3 ,1.25,"10,330 / sq ft",1210 ,Ready to move
9209,Hyderabad properties,3 ,75,"5,000 / sq ft",1500 ,Ready to move
9210,Hyderabad properties,2 ,50,"4,672 / sq ft",1070 ,Ready to move
9211,Hyderabad properties,2 ,45,"4,500 / sq ft",1000 ,Ready to move
9212,Hyderabad properties,3 ,80,"5,000 / sq ft",1600 ,Ready to move
9213,Hyderabad properties,2 ,55,"4,782 / sq ft",1150 ,Ready to move
9214,Hyderabad properties,3 ,1.5,"6,250 / sq ft",2400 ,Ready to move
9215,Hyderabad properties,3 ,1.05,"5,526 / sq ft",1900 ,Ready to move
9216,Hyderabad properties,3 ,95,"5,000 / sq ft",1900 ,Ready to move
9217,Hyderabad properties,3 ,1.2,"6,060 / sq ft",1980 ,Ready to move
9218,Hyderabad properties,3 ,1.4,"6,334 / sq ft",2210 ,Ready to move
9219,Hyderabad properties,3 ,85,"5,151 / sq ft",1650 ,Ready to move
9220,Hyderabad properties,3 ,1.4,"6,666 / sq ft",2100 ,Ready to move
9221,Hyderabad properties,3 ,1.05,"6,000 / sq ft",1750 ,Ready to move
9222,Hyderabad properties,3 ,1.19,"6,153 / sq ft",1950 ,Ready to move
9223,Kazim Co Real Estate,3 ,2.2,"10,476 / sq ft",2100 ,Ready to move
9224,Hyderabad properties,2 ,55,"5,000 / sq ft",1100 ,Ready to move
9225,Hyderabad properties,2 ,60,"5,000 / sq ft",1200 ,Ready to move
9226,Hyderabad properties,2 ,40,"4,444 / sq ft",900 ,Ready to move
9227,Hyderabad properties,2 ,55,"4,910 / sq ft",1120 ,Ready to move
9228,Hyderabad properties,3 ,1.7,"6,800 / sq ft",2500 ,Ready to move
9229,Hyderabad properties,3 ,1.1,"5,851 / sq ft",1880 ,Ready to move
9230,Hyderabad properties,3 ,1.05,"5,801 / sq ft",1810 ,Ready to move
9231,Hyderabad properties,2 ,60,"5,128 / sq ft",1170 ,Ready to move
9232,Hyderabad properties,3 ,1.1,"5,500 / sq ft",2000 ,Ready to move
9233,Hyderabad properties,3 ,85,"5,000 / sq ft",1700 ,Ready to move
9234,Hyderabad properties,3 ,65,"4,642 / sq ft",1400 ,Ready to move
9235,Hyderabad properties,2 ,55,"4,910 / sq ft",1120 ,Ready to move
9236,Hyderabad properties,3 ,1.25,"10,330 / sq ft",1210 ,Ready to move
9237,Hyderabad properties,3 ,75,"5,000 / sq ft",1500 ,Ready to move
9238,Hyderabad properties,2 ,50,"4,672 / sq ft",1070 ,Ready to move
9239,Hyderabad properties,2 ,45,"4,500 / sq ft",1000 ,Ready to move
9240,Royal Rajputana Co,2 ,60,"5,000 / sq ft",1200 ,Ready to move
9241,Royal Rajputana Co,6 ,1.85,"6,851 / sq ft",2700 ,Ready to move
9242,Royal Rajputana Co,3 ,1.05,"5,833 / sq ft",1800 ,Ready to move
9243,Royal Rajputana Co,2 ,68,"3,777 / sq ft",1800 ,Ready to move
9244,Royal Rajputana Co,2 ,25,"2,272 / sq ft",1100 ,Ready to move
9245,Royal Rajputana Co,2 ,50,"4,807 / sq ft",1040 ,Ready to move
9246,Royal Rajputana Co,3 ,90,"6,206 / sq ft",1450 ,Ready to move
9247,Royal Rajputana Co,2 ,69,"6,990 / sq ft",987 ,Ready to move
9248,Royal Rajputana Co,3 ,60,"4,615 / sq ft",1300 ,Ready to move
9249,Royal Rajputana Co,3 ,95,"5,937 / sq ft",1600 ,Ready to move
9250,Royal Rajputana Co,2 ,80,"4,444 / sq ft",1800 ,Ready to move
9251,Royal Rajputana Co,2 ,72,"5,142 / sq ft",1400 ,Ready to move
9252,Royal Rajputana Co,2 ,32,"3,047 / sq ft",1050 ,Ready to move
9253,Royal Rajputana Co,2 ,38,"3,442 / sq ft",1104 ,Ready to move
9254,Royal Rajputana Co,4 ,98,"4,083 / sq ft",2400 ,Ready to move
9255,Royal Rajputana Co,4 ,1.5,"6,250 / sq ft",2400 ,Ready to move
9256,Royal Rajputana Co,2 ,78,"7,800 / sq ft",1000 ,Ready to move
9257,Royal Rajputana Co,2 ,75,"6,355 / sq ft",1180 ,Ready to move
9258,Royal Rajputana Co,2 ,32,"2,976 / sq ft",1075 ,Ready to move
