,Agent,BHK_Apartment,Price_in_lakhs,Per_Square_ft_price,Aprtment_Size,Status
4218,Dvr eastates,Residential Plot,13.5,"1,000 / sq ft",1350 ,New
4219,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4220,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4221,Arjun Associates,Residential Plot,42,"2,333 / sq ft",1800 ,New
4222,Rummaan Realtors,6 ,1.4,"5,600 / sq ft",2500 ,Ready to move
4223,96 Consultancy,3 ,52,"4,000 / sq ft",1300 ,Ready to move
4224,Narendra,2 ,39.78,"3,459 / sq ft",1150 ,Under Construction
4225,Hrushi Properties,1 ,27,"4,500 / sq ft",600 ,Under Construction
4226,Hrushi Properties,2 ,56,"4,869 / sq ft",1150 ,Ready to move
4227,Hrushi Properties,2 ,53,"4,608 / sq ft",1150 ,Under Construction
4228,Hrushi Properties,2 ,56,"4,745 / sq ft",1180 ,Ready to move
4229,Hrushi Properties,3 ,67,"4,123 / sq ft",1625 ,Ready to move
4230,Hrushi Properties,2 ,48,"4,173 / sq ft",1150 ,Ready to move
4231,Hrushi Properties,2 ,53,"4,491 / sq ft",1180 ,Under Construction
4232,Royal Rajputana Co,2 ,50,"4,761 / sq ft",1050 ,Ready to move
4233,Royal Rajputana Co,3 ,85.05,"5,400 / sq ft",1575 ,Ready to move
4234,Royal Rajputana Co,4 ,55,"2,750 / sq ft",2000 ,Ready to move
4235,Royal Rajputana Co,3 ,2,"10,000 / sq ft",2000 ,Ready to move
4236,Mallikarjun Goud,3 ,41.83,"2,699 / sq ft",1550 ,Under Construction
4237,Mallikarjun Goud,2 ,18,"1,500 / sq ft",1200 ,Under Construction
4238,Prasad,1 ,25,"4,118 / sq ft",607 ,Under Construction
4239,Prasad,2 ,49,"4,036 / sq ft",1214 ,Under Construction
4240,Mallikarjun Goud,2 ,18,"1,500 / sq ft",1200 ,Under Construction
4241,Kranthi C,3 ,58,"3,851 / sq ft",1506 ,Ready to move
4242,Bestpropin,3 ,66,"4,244 / sq ft",1555 ,Ready to move
4243,Mahesh Bairi,3 ,89,"5,562 / sq ft",1600 ,Ready to move
4244,Sai Deeksha Developers,Residential Plot,16,888 / sq ft,1800 ,New
4245,Sai Deeksha Developers,Residential Plot,46,"2,555 / sq ft",1800 ,New
4246,Sai Deeksha Developers,Residential Plot,21.84,"1,277 / sq ft",1710 ,New
4247,Srikanth,3 ,78.25,"4,742 / sq ft",1650 ,Ready to move
4248,Srikanth,3 ,74,"5,103 / sq ft",1450 ,Ready to move
4249,Srikanth,2 ,58,"5,492 / sq ft",1056 ,Ready to move
4250,Srikanth,3 ,96,"4,571 / sq ft",2100 ,Ready to move
4251,Srikanth,2 ,75,"6,250 / sq ft",1200 ,Ready to move
4252,Srikanth,2 ,85,"6,800 / sq ft",1250 ,Ready to move
4253,Srikanth,3 ,1.15,"5,000 / sq ft",2300 ,Ready to move
4254,Srikanth,4 ,1.35,"5,625 / sq ft",2400 ,Ready to move
4255,Fido Property Management,3 ,87,"5,704 / sq ft",1525 ,Ready to move
4256,Srikanth,4 ,1.35,"5,625 / sq ft",2400 ,Ready to move
4257,Fido Property Management,3 ,87,"5,704 / sq ft",1525 ,Ready to move
4258,Srikanth,4 ,1.12,"4,869 / sq ft",2300 ,Ready to move
4259,Srikanth,4 ,1.15,"4,791 / sq ft",2400 ,Ready to move
4260,Srikanth,4 ,1.6,"6,153 / sq ft",2600 ,Ready to move
4261,Srikanth,4 ,1.55,"5,961 / sq ft",2600 ,Ready to move
4262,Srikanth,2 ,75,"6,250 / sq ft",1200 ,Ready to move
4263,Srikanth,2 ,85,"6,800 / sq ft",1250 ,Ready to move
4264,Sai Deeksha Developers,Residential Plot,44,"2,444 / sq ft",1800 ,New
4265,Sai Deeksha Developers,Residential Plot,39.6,"2,444 / sq ft",1620 ,New
4266,Sai Deeksha Developers,Residential Plot,60,"1,666 / sq ft",3600 ,New
4267,Sai Deeksha Developers,Residential Plot,41.8,"2,444 / sq ft",1710 ,New
4268,Mythri Projects,Residential Plot,8.5,944 / sq ft,900 ,New
4269,Sai Deeksha Developers,Residential Plot,40.05,"1,666 / sq ft",2403 ,New
4270,Sai Deeksha Developers,Residential Plot,40.05,"1,731 / sq ft",2313 ,New
4271,Rummaan Realtors,6 ,95,"4,750 / sq ft",2000 ,Ready to move
4272,Rummaan Realtors,6 ,1.1,"5,500 / sq ft",2000 ,Ready to move
4273,Rummaan Realtors,10 ,6.5,"6,500 / sq ft",10000 ,Ready to move
4274,Bestpropin,3 ,1.12,"6,653 / sq ft",1695 ,Ready to move
4275,Royal Rajputana Co,3 ,65,"4,333 / sq ft",1500 ,Ready to move
4276,Elite Realty,2 ,49,"4,100 / sq ft",1195 ,Under Construction
4277,Dhanunjaya,2 ,28.66,"3,150 / sq ft",910 ,Under Construction
4278,Kastro Realty,3 ,1,"6,153 / sq ft",1625 ,Under Construction
4279,Kastro Realty,3 ,75,"6,177 / sq ft",1214 ,Under Construction
4280,Dhanunjaya,2 ,28.66,"3,150 / sq ft",910 ,Under Construction
4281,Kastro Realty,3 ,1,"6,153 / sq ft",1625 ,Under Construction
4282,Kastro Realty,3 ,75,"6,177 / sq ft",1214 ,Under Construction
4283,Kastro Realty,3 ,4,"11,309 / sq ft",3537 ,Under Construction
4284,Kastro Realty,2 ,55,"4,610 / sq ft",1193 ,Under Construction
4285,Royal Rajputana Co,2 ,60,"4,979 / sq ft",1205 ,Ready to move
4286,Royal Rajputana Co,2 ,30,"2,448 / sq ft",1225 ,Ready to move
4287,Royal Rajputana Co,2 ,42,"4,200 / sq ft",1000 ,Ready to move
4288,Royal Rajputana Co,4 ,50,"3,448 / sq ft",1450 ,Ready to move
4289,Royal Rajputana Co,2 ,65,"4,642 / sq ft",1400 ,Ready to move
4290,Royal Rajputana Co,3 ,90,"4,186 / sq ft",2150 ,Ready to move
4291,Kazim Co Real Estate,3 ,1.4,"5,090 / sq ft",2750 ,Ready to move
4292,Kazim Co Real Estate,2 ,18,"2,316 / sq ft",777 ,Ready to move
4293,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4294,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4295,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4296,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4297,Mallikarjun Goud,3 ,41.83,"2,699 / sq ft",1550 ,Under Construction
4298,Mallikarjun Goud,3 ,34.92,"2,699 / sq ft",1294 ,Under Construction
4299,Mallikarjun Goud,3 ,34.92,"2,699 / sq ft",1294 ,Under Construction
4300,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4301,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4302,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4303,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4304,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4305,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4306,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4307,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4308,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4309,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4310,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4311,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4312,Mallikarjun Goud,3 ,41.83,"2,699 / sq ft",1550 ,Under Construction
4313,Mallikarjun Goud,3 ,34.92,"2,699 / sq ft",1294 ,Under Construction
4314,Mallikarjun Goud,3 ,34.92,"2,699 / sq ft",1294 ,Under Construction
4315,Mallikarjun Goud,2 ,28.2,"2,699 / sq ft",1045 ,Under Construction
4316,Mallikarjun Goud,2 ,28.2,"2,699 / sq ft",1045 ,Under Construction
4317,Mallikarjun Goud,2 ,28.2,"2,699 / sq ft",1045 ,Under Construction
4318,Mallikarjun Goud,3 ,41.83,"2,699 / sq ft",1550 ,Under Construction
4319,Mallikarjun Goud,3 ,34.92,"2,699 / sq ft",1294 ,Under Construction
4320,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4321,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4322,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4323,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4324,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4325,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4326,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4327,Mallikarjun Goud,3 ,38.73,"2,499 / sq ft",1550 ,Under Construction
4328,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4329,Mallikarjun Goud,2 ,28.48,"2,499 / sq ft",1140 ,Under Construction
4330,Mallikarjun Goud,2 ,18,"1,500 / sq ft",1200 ,Under Construction
4331,Mallikarjun Goud,3 ,65,"4,642 / sq ft",1400 ,Under Construction
4332,Mallikarjun Goud,3 ,65,"4,642 / sq ft",1400 ,Under Construction
4333,Mallikarjun Goud,3 ,49,"3,500 / sq ft",1400 ,Under Construction
4334,Mallikarjun Goud,3 ,49,"3,500 / sq ft",1400 ,Under Construction
4335,Dhathrri services,2 ,27.67,"2,700 / sq ft",1025 ,Under Construction
4336,Dhathrri services,2 ,27.67,"2,700 / sq ft",1025 ,Under Construction
4337,Dhathrri services,2 ,27.67,"2,700 / sq ft",1025 ,Under Construction
4338,Dhathrri services,2 ,27.67,"2,700 / sq ft",1025 ,Under Construction
4339,Dhathrri services,2 ,27.67,"2,700 / sq ft",1025 ,Under Construction
4340,suresh,3 ,48.5,"3,730 / sq ft",1300 ,Under Construction
4341,Amrutha Realtors,3 ,78,"3,888 / sq ft",2006 ,Under Construction
4342,Amrutha Realtors,4 ,1.1,"4,751 / sq ft",2315 ,Under Construction
4343,Amrutha Realtors,3 ,84,"4,187 / sq ft",2006 ,Under Construction
4344,Amrutha Realtors,2 ,83.99,"3,818 / sq ft",2200 ,Ready to move
4345,Mallikarjun Goud,2 ,18,"1,500 / sq ft",1200 ,Under Construction
4346,Mallikarjun Goud,2 ,18,"1,500 / sq ft",1200 ,Under Construction
4347,Mallikarjun Goud,3 ,36,"2,571 / sq ft",1400 ,Under Construction
4348,Mallikarjun Goud,3 ,36,"2,571 / sq ft",1400 ,Under Construction
4349,Mallikarjun Goud,2 ,37,"3,507 / sq ft",1055 ,Under Construction
4350,Mallikarjun Goud,2 ,50,"4,739 / sq ft",1055 ,Under Construction
4351,Mallikarjun Goud,2 ,50,"4,739 / sq ft",1055 ,Under Construction
4352,Mallikarjun Goud,2 ,27,"2,559 / sq ft",1055 ,Under Construction
4353,Mallikarjun Goud,2 ,27,"2,559 / sq ft",1055 ,Under Construction
4354,Mallikarjun Goud,3 ,41.83,"2,699 / sq ft",1550 ,Under Construction
4355,Mallikarjun Goud,2 ,18,"1,500 / sq ft",1200 ,Under Construction
4356,Mallikarjun Goud,3 ,65,"4,642 / sq ft",1400 ,Under Construction
4357,Mallikarjun Goud,3 ,65,"4,642 / sq ft",1400 ,Under Construction
4358,Mallikarjun Goud,3 ,49,"3,500 / sq ft",1400 ,Under Construction
4359,Mallikarjun Goud,3 ,49,"3,500 / sq ft",1400 ,Under Construction
4360,Bestpropin,2 ,73.17,"6,712 / sq ft",1090 ,Ready to move
4361,Sai Deeksha Developers,Residential Plot,60,"1,666 / sq ft",3600 ,New
4362,Sai Deeksha Developers,Residential Plot,40.05,"1,666 / sq ft",2403 ,New
4363,Sai Deeksha Developers,Residential Plot,30,"1,666 / sq ft",1800 ,New
4364,Sai Deeksha Developers,Residential Plot,25.05,"1,666 / sq ft",1503 ,New
4365,Dhanunjaya,Residential Plot,1.08,"4,000 / sq ft",2700 ,New
4366,Prasad,Residential Plot,10.9,403 / sq ft,2700 ,New
4367,Dhanunjaya,Residential Plot,88,"4,444 / sq ft",1980 ,New
4368,Prasad,Residential Plot,11.9,440 / sq ft,2700 ,New
4369,Prasad,Residential Plot,5.5,407 / sq ft,1350 ,New
4370,Prasad,Residential Plot,5.99,444 / sq ft,1350 ,New
4371,Prasad,Residential Plot,12,888 / sq ft,1350 ,New
4372,Prasad,Residential Plot,38.99,"2,888 / sq ft",1350 ,New
4373,Prasad,Residential Plot,39,"2,888 / sq ft",1350 ,New
4374,Prasad,Residential Plot,26.29,"1,947 / sq ft",1350 ,New
4375,Prasad,Residential Plot,26.5,"1,962 / sq ft",1350 ,New
4376,Kranthi C,3 ,70,"4,666 / sq ft",1500 ,Ready to move
4377,Kranthi C,3 ,64,"4,266 / sq ft",1500 ,Ready to move
4378,Kranthi C,3 ,64,"4,266 / sq ft",1500 ,Ready to move
4379,Vardhan,2 ,38.79,"3,400 / sq ft",1141 ,Under Construction
4380,Vardhan,2 ,38.79,"3,400 / sq ft",1141 ,Under Construction
4381,Dvr eastates,Residential Plot,27,"2,000 / sq ft",1350 ,New
4382,Dvr eastates,Residential Plot,44,"2,444 / sq ft",1800 ,New
4383,Dvr eastates,Residential Plot,27,"2,000 / sq ft",1350 ,New
4384,Greater Infra,Residential Plot,44.44,"1,777 / sq ft",2500 ,New
4385,Dvr eastates,Residential Plot,38.5,"2,444 / sq ft",1575 ,New
4386,Sai Deeksha Developers,Residential Plot,25.05,"1,666 / sq ft",1503 ,New
4387,Mythri Projects,Residential Plot,19.98,"1,669 / sq ft",1197 ,New
4388,Sai Deeksha Developers,Residential Plot,46,"2,555 / sq ft",1800 ,New
4389,Sai Deeksha Developers,Residential Plot,43.7,"2,555 / sq ft",1710 ,New
4390,Sai Deeksha Developers,Residential Plot,30,"1,666 / sq ft",1800 ,New
4391,Kosher Proctor I Pvt Ltd,3 ,1.07,"4,478 / sq ft",2389 ,Under Construction
4392,Kosher Proctor I Pvt Ltd,3 ,80,"4,605 / sq ft",1737 ,Under Construction
4393,Kosher Proctor I Pvt Ltd,3 ,1.07,"4,480 / sq ft",2388 ,Under Construction
4394,Kosher Proctor I Pvt Ltd,3 ,80,"4,608 / sq ft",1736 ,Under Construction
4395,Sai Deeksha Developers,2 ,84,"5,911 / sq ft",1421 ,Under Construction
4396,HOMELAND REALTY SOLUTIONS,4 ,4.5,"10,538 / sq ft",4270 ,Ready to move
4397,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4398,Ayyappa Properties,3 ,49,"2,001 / sq ft",2448 ,Ready to move
4399,Mohan Rao,2 ,60,"5,029 / sq ft",1193 ,Under Construction
4400,Mohan Rao,3 ,78,"5,000 / sq ft",1560 ,Under Construction
4401,Mohan Rao,2 ,60,"5,029 / sq ft",1193 ,Under Construction
4402,Mohan Rao,2 ,60,"5,029 / sq ft",1193 ,Under Construction
4403,Mohan Rao,3 ,85,"5,272 / sq ft",1612 ,Under Construction
4404,Mohan Rao,3 ,1.1,"5,233 / sq ft",2102 ,Under Construction
4405,Royal Rajputana Co,3 ,63,"4,256 / sq ft",1480 ,Ready to move
4406,Fido Property Management,3 ,1.58,"6,422 / sq ft",2460 ,Under Construction
4407,Fido Property Management,3 ,1.58,"6,422 / sq ft",2460 ,Under Construction
4408,Srikanth,4 ,1.35,"5,510 / sq ft",2450 ,Ready to move
4409,Sai Deeksha Developers,2 ,47.26,"3,999 / sq ft",1182 ,Under Construction
4410,Sai Deeksha Developers,2 ,41.46,"3,598 / sq ft",1152 ,Under Construction
4411,Bhoyaj Realtor,2 ,60,"4,942 / sq ft",1214 ,Under Construction
4412,Venu Gopal,8 ,7.5,"7,978 / sq ft",9400 ,Ready to move
4413,DWARAKA CONSTRUCTIONS,2 ,40.5,"3,857 / sq ft",1050 ,Ready to move
4414,Prasad,Residential Plot,18,666 / sq ft,2700 ,New
4415,Venu Gopal,5 ,6,"13,333 / sq ft",4500 ,Ready to move
4416,Pranay Bandam,2 ,38,"3,298 / sq ft",1152 ,Under Construction
4417,Vardhan,2 ,36.72,"3,000 / sq ft",1224 ,Under Construction
4418,Pranay Bandam,2 ,38,"3,330 / sq ft",1141 ,Under Construction
4419,Pranay Bandam,2 ,38,"3,247 / sq ft",1170 ,Under Construction
4420,Sai Deeksha Developers,3 ,1.2,"4,000 / sq ft",3000 ,Under Construction
4421,Kosher Proctor I Pvt Ltd,4 ,7.78,"15,300 / sq ft",5090 ,Ready to move
4422,Kosher Proctor I Pvt Ltd,4 ,7.78,"15,300 / sq ft",5090 ,Ready to move
4423,PROPBELLC,4 ,2.05,"6,833 / sq ft",3000 ,Under Construction
4424,Sai Deeksha Developers,2 ,84,"5,911 / sq ft",1421 ,Under Construction
4425,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4426,Mythri Projects,Residential Plot,12.75,944 / sq ft,1350 ,New
4427,Mythri Projects,Residential Plot,24,"1,777 / sq ft",1350 ,New
4428,Mythri Projects,Residential Plot,19.98,"1,669 / sq ft",1197 ,New
4429,Mythri Projects,Residential Plot,12,888 / sq ft,1350 ,New
4430,Royal Rajputana Co,2 ,59,"4,720 / sq ft",1250 ,Ready to move
4431,Remax Central,3 ,98,"5,664 / sq ft",1730 ,Ready to move
4432,Mohan Rao,3 ,78,"5,000 / sq ft",1560 ,Under Construction
4433,Mohan Rao,2 ,60,"5,029 / sq ft",1193 ,Under Construction
4434,Mohan Rao,2 ,60,"5,029 / sq ft",1193 ,Under Construction
4435,Kastro Realty,4 ,3,"8,700 / sq ft",3448 ,Ready to move
4436,Venu Gopal,3 ,1.9,"4,750 / sq ft",4000 ,Ready to move
4437,Kosher Proctor I Pvt Ltd,2 ,31.04,"3,200 / sq ft",970 ,Under Construction
4438,Kosher Proctor I Pvt Ltd,2 ,31.04,"3,200 / sq ft",970 ,Under Construction
4439,Adi lakshmi P,2 ,77,"8,020 / sq ft",960 ,Ready to move
4440,Adi lakshmi P,2 ,77,"8,020 / sq ft",960 ,Ready to move
4441,Dhathrri services,3 ,49.6,"2,979 / sq ft",1665 ,Under Construction
4442,Kranthi C,3 ,58,"3,851 / sq ft",1506 ,Ready to move
4443,Kranthi C,3 ,58,"3,851 / sq ft",1506 ,Ready to move
4444,Bestpropin,2 ,61.65,"5,360 / sq ft",1150 ,Under Construction
4445,Bestpropin,3 ,84.6,"5,287 / sq ft",1600 ,Under Construction
4446,Prasad,2 ,42.99,"3,948 / sq ft",1089 ,Ready to move
4447,Dvr eastates,Residential Plot,26,"1,444 / sq ft",1800 ,New
4448,Sai Deeksha Developers,Residential Plot,46,"2,555 / sq ft",1800 ,New
4449,Sai Deeksha Developers,Residential Plot,61.41,"2,555 / sq ft",2403 ,New
4450,Mythri Projects,Residential Plot,12.75,944 / sq ft,1350 ,New
4451,Ayyappa Properties,3 ,48,"2,181 / sq ft",2200 ,Ready to move
4452,Ayyappa Properties,3 ,48,"2,181 / sq ft",2200 ,Ready to move
4453,Prime Estates,4 ,3.05,"7,218 / sq ft",4225 ,Under Construction
4454,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4455,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4456,Mythri Projects,Residential Plot,12,888 / sq ft,1350 ,New
4457,Mythri Projects,Residential Plot,21.28,"1,777 / sq ft",1197 ,New
4458,Mythri Projects,Residential Plot,12.75,944 / sq ft,1350 ,New
4459,Sai Deeksha Developers,Residential Plot,61.41,"2,555 / sq ft",2403 ,New
4460,Sai Deeksha Developers,Residential Plot,61.41,"2,555 / sq ft",2403 ,New
4461,Sai Deeksha Developers,Residential Plot,61.41,"2,555 / sq ft",2403 ,New
4462,Sai Deeksha Developers,Residential Plot,61.41,"2,555 / sq ft",2403 ,New
4463,Shiva Rao,2 ,45,"5,000 / sq ft",900 ,Under Construction
4464,Mahesh Bairi,5 ,2,"6,250 / sq ft",3200 ,Ready to move
4465,Mahesh Bairi,5 ,2,"6,250 / sq ft",3200 ,Ready to move
4466,suresh,3 ,79.1,"5,380 / sq ft",1470 ,Under Construction
4467,Prasad,2 ,42,"3,500 / sq ft",1200 ,Ready to move
4468,Royal Rajputana Co,2 ,80,"8,000 / sq ft",1000 ,Ready to move
4469,Royal Rajputana Co,3 ,43.2,"3,200 / sq ft",1350 ,Ready to move
4470,Sai Deeksha Developers,2 ,32.24,"1,117 / sq ft",2885 ,Under Construction
4471,Kastro Realty,2 ,30,"2,352 / sq ft",1275 ,Under Construction
4472,Kosher Proctor I Pvt Ltd,2 ,31.04,"3,200 / sq ft",970 ,Under Construction
4473,Kosher Proctor I Pvt Ltd,2 ,31.68,"3,200 / sq ft",990 ,Under Construction
4474,Kosher Proctor I Pvt Ltd,2 ,31.2,"3,200 / sq ft",975 ,Under Construction
4475,Kosher Proctor I Pvt Ltd,2 ,31.68,"3,200 / sq ft",990 ,Under Construction
4476,Kosher Proctor I Pvt Ltd,2 ,31.2,"3,200 / sq ft",975 ,Under Construction
4477,Elite Realty,2 ,35,"3,038 / sq ft",1152 ,Under Construction
4478,Dhanunjaya,1 ,29.99,"4,942 / sq ft",607 ,Under Construction
4479,3M Estate,3 ,45,"2,892 / sq ft",1556 ,Under Construction
4480,Dhanunjaya,2 ,59.99,"4,942 / sq ft",1214 ,Under Construction
4481,3M Estate,2 ,30,"2,870 / sq ft",1045 ,Under Construction
4482,Kastro Realty,3 ,65,"4,140 / sq ft",1570 ,Under Construction
4483,3M Estate,3 ,37,"2,859 / sq ft",1294 ,Under Construction
4484,Kastro Realty,3 ,1,"6,329 / sq ft",1580 ,Under Construction
4485,Dhathrri services,2 ,35.73,"4,150 / sq ft",861 ,Under Construction
4486,Dhathrri services,2 ,35.73,"4,150 / sq ft",861 ,Under Construction
4487,Dhathrri services,2 ,35.73,"4,150 / sq ft",861 ,Under Construction
4488,Fido Property Management,3 ,1.58,"6,422 / sq ft",2460 ,Under Construction
4489,Ravi Varma,2 ,36.41,"3,400 / sq ft",1071 ,Under Construction
4490,Dhathrri services,2 ,27.67,"2,700 / sq ft",1025 ,Under Construction
4491,Amrutha Realtors,3 ,78,"3,888 / sq ft",2006 ,Under Construction
4492,Amrutha Realtors,3 ,78,"3,888 / sq ft",2006 ,Under Construction
4493,Ravi Varma,2 ,39.78,"3,400 / sq ft",1170 ,Under Construction
4494,Dhathrri services,Residential Plot,20.79,"1,444 / sq ft",1440 ,New
4495,Dhathrri services,Residential Plot,20.79,"1,444 / sq ft",1440 ,New
4496,Dhathrri services,Residential Plot,20.79,"1,444 / sq ft",1440 ,New
4497,Dhathrri services,Residential Plot,38.99,"1,444 / sq ft",2700 ,New
4498,Dhathrri services,Residential Plot,38.99,"1,444 / sq ft",2700 ,New
4499,Dhathrri services,Residential Plot,38.99,"1,444 / sq ft",2700 ,New
4500,Dhathrri services,Residential Plot,32.49,"1,444 / sq ft",2250 ,New
4501,Dhathrri services,Residential Plot,32.49,"1,444 / sq ft",2250 ,New
4502,Dhathrri services,Residential Plot,25.99,"12,999 / sq ft",200 ,New
4503,Dhathrri services,Residential Plot,25.99,"1,444 / sq ft",1800 ,New
4504,Vardhan,2 ,33.69,"3,000 / sq ft",1123 ,Under Construction
4505,Vardhan,2 ,37.5,"3,399 / sq ft",1103 ,Under Construction
4506,Vardhan,2 ,34.39,"2,982 / sq ft",1153 ,Under Construction
4507,Vardhan,2 ,38.48,"3,399 / sq ft",1132 ,Under Construction
4508,Vardhan,2 ,39.81,"3,400 / sq ft",1171 ,Under Construction
4509,Vardhan,2 ,36.63,"3,000 / sq ft",1221 ,Under Construction
4510,Prasad,2 ,42,"3,856 / sq ft",1089 ,Ready to move
4511,Vardhan,2 ,36.45,"3,000 / sq ft",1215 ,Under Construction
4512,Vardhan,2 ,35.1,"3,000 / sq ft",1170 ,Under Construction
4513,Vardhan,2 ,29.22,"2,600 / sq ft",1124 ,Under Construction
4514,Vardhan,2 ,40.63,"3,405 / sq ft",1193 ,Under Construction
4515,Vardhan,2 ,39.81,"3,397 / sq ft",1172 ,Under Construction
4516,Prasad,2 ,55,"4,530 / sq ft",1214 ,Ready to move
4517,Bestpropin,3 ,1.12,"6,653 / sq ft",1695 ,Ready to move
4518,Vardhan,2 ,39.78,"3,400 / sq ft",1170 ,Under Construction
4519,Orange Property,3 ,93,"5,723 / sq ft",1625 ,Ready to move
4520,Orange Property,3 ,93,"5,723 / sq ft",1625 ,Ready to move
4521,Vardhan,2 ,36.41,"3,399 / sq ft",1071 ,Under Construction
4522,Vardhan,2 ,37.4,"3,400 / sq ft",1100 ,Under Construction
4523,Vardhan,2 ,32.79,"3,000 / sq ft",1093 ,Under Construction
4524,Vardhan,2 ,32.3,"3,400 / sq ft",950 ,Under Construction
4525,Dvr eastates,Residential Plot,34,"2,428 / sq ft",1400 ,New
4526,Sai Deeksha Developers,Residential Plot,30,"1,666 / sq ft",1800 ,New
4527,Sai Deeksha Developers,Residential Plot,25.05,"1,666 / sq ft",1503 ,New
4528,Dvr eastates,Residential Plot,36,"2,000 / sq ft",1800 ,New
4529,Dvr eastates,Residential Plot,33.33,"2,469 / sq ft",1350 ,New
4530,Greater Infra,Residential Plot,40,"1,777 / sq ft",2250 ,New
4531,Greater Infra,Residential Plot,36,"1,777 / sq ft",2025 ,New
4532,Dvr eastates,Residential Plot,33,"2,444 / sq ft",1350 ,New
4533,Srikanth,Residential Plot,1.57,"6,555 / sq ft",2403 ,New
4534,Dvr eastates,Residential Plot,36,"2,000 / sq ft",1800 ,New
4535,Mythri Projects,Residential Plot,9,666 / sq ft,1350 ,New
4536,Royal Rajputana Co,2 ,35.72,"3,495 / sq ft",1022 ,Ready to move
4537,Kranthi C,3 ,64,"4,266 / sq ft",1500 ,Ready to move
4538,Kranthi C,3 ,64,"4,266 / sq ft",1500 ,Ready to move
4539,suresh,3 ,90.3,"5,189 / sq ft",1740 ,Under Construction
4540,suresh,3 ,89.7,"5,184 / sq ft",1730 ,Under Construction
4541,suresh,3 ,92.3,"5,185 / sq ft",1780 ,Under Construction
4542,Raja nayak,3 ,80,"5,517 / sq ft",1450 ,Ready to move
4543,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4544,Fido Property Management,4 ,3.5,"8,484 / sq ft",4125 ,Under Construction
4545,Fido Property Management,4 ,3.5,"8,484 / sq ft",4125 ,Under Construction
4546,Fido Property Management,4 ,3.5,"8,484 / sq ft",4125 ,Under Construction
4547,Fido Property Management,4 ,3.5,"8,484 / sq ft",4125 ,Under Construction
4548,Fido Property Management,3 ,2.1,"8,477 / sq ft",2477 ,Under Construction
4549,Fido Property Management,4 ,2.9,"8,340 / sq ft",3477 ,Under Construction
4550,Fido Property Management,4 ,2.9,"8,340 / sq ft",3477 ,Under Construction
4551,Fido Property Management,4 ,2.9,"8,340 / sq ft",3477 ,Under Construction
4552,Fido Property Management,4 ,2.9,"8,340 / sq ft",3477 ,Under Construction
4553,Fido Property Management,4 ,2.1,"8,477 / sq ft",2477 ,Under Construction
4554,Fido Property Management,3 ,85,"5,573 / sq ft",1525 ,Ready to move
4555,Fido Property Management,4 ,2.9,"8,340 / sq ft",3477 ,Under Construction
4556,Fido Property Management,4 ,2.1,"8,477 / sq ft",2477 ,Under Construction
4557,Kosher Proctor I Pvt Ltd,3 ,1.09,"6,900 / sq ft",1592 ,Ready to move
4558,suresh,3 ,48.5,"3,730 / sq ft",1300 ,Under Construction
4559,Mohan Rao,3 ,80,"5,102 / sq ft",1568 ,Under Construction
